unique_id,order_id,quantity,unit_price,total_sale,order_date,order_status,product_category,cost_price,contact_number,address,city,country,last_name,first_name,order_size,is_dirty
121,10424,50,100.00,12001.00,2005-05-31,"In Process","Classic Cars",214.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large,0
122,10201,25,100.00,4029.00,2003-12-01,Shipped,Motorcycles,150.00,6505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium,0
123,10211,36,100.00,4771.80,2004-01-15,Shipped,Motorcycles,150.00,"(1) 47.55.6555","25, rue Lauriston",Paris,France,Perrier,Dominique,Medium,0
124,10103,27,100.00,3394.98,2003-01-29,Shipped,"Trucks and Buses",136.00,"07-98 9555","Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium,0
125,10224,43,100.00,6087.94,2004-02-21,Shipped,Motorcycles,150.00,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,0
126,10197,45,100.00,5324.40,2003-11-26,Shipped,"Classic Cars",136.00,"(93) 203 4555","Rambla de CataluÂ¤a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium,0
127,10237,32,100.00,4193.28,2004-04-05,Shipped,Motorcycles,150.00,2125551500,"2678 Kingston Rd.",NYC,USA,Frick,Michael,Medium,0
128,10113,21,100.00,3415.44,2003-03-26,Shipped,"Trucks and Buses",136.00,4155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium,0
129,10209,39,100.00,5197.92,2004-01-09,Shipped,"Classic Cars",136.00,2155554369,"6047 Douglas Av.","Los Angeles",USA,Chandler,Michael,Medium,0
130,10251,46,100.00,7552.28,2004-05-18,Shipped,Motorcycles,150.00,2015559350,"7476 Moss Rd.",Newark,USA,Brown,William,Large,0
131,10126,21,100.00,2439.57,2003-05-28,Shipped,"Trucks and Buses",136.00,"(91) 555 22 82","C/ Araquil, 67",Madrid,Spain,Sommer,MartÂ¡n,Small,0
132,10107,39,99.91,3896.49,2003-02-24,Shipped,Motorcycles,118.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium,0
133,10263,48,100.00,6434.40,2004-06-28,Shipped,Motorcycles,150.00,2035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Medium,0
134,10276,43,100.00,5181.50,2004-08-02,Shipped,Motorcycles,150.00,6175557555,"7635 Spinnaker Dr.",Brickhaven,USA,Barajas,Miguel,Medium,0
135,10140,38,100.00,4829.80,2003-07-24,Shipped,"Trucks and Buses",136.00,6505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium,0
136,10285,49,100.00,6863.92,2004-08-27,Shipped,Motorcycles,150.00,6175558555,"39323 Spinnaker Dr.",Cambridge,USA,Hernandez,Marta,Medium,0
137,10120,29,96.34,2793.86,2003-04-29,Shipped,Motorcycles,118.00,"03 9520 4555","636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Small,0
138,10299,24,100.00,4157.04,2004-09-30,Shipped,Motorcycles,150.00,"90-224 8555","Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Medium,0
139,10150,30,100.00,4100.10,2003-09-19,Shipped,"Trucks and Buses",136.00,"+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium,0
140,10222,49,100.00,5997.60,2004-02-19,Shipped,"Classic Cars",136.00,7605558146,"361 Furth Circle","San Diego",USA,Thompson,Valarie,Medium,0
141,10134,27,100.00,3307.77,2003-07-01,Shipped,Motorcycles,118.00,"+33 1 46 62 7555","27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Medium,0
142,10164,49,100.00,6563.06,2003-10-21,Resolved,"Trucks and Buses",136.00,7675-3555,"Kirchgasse 6",Graz,Austria,Mendel,Roland,Medium,0
143,10309,26,100.00,4660.24,2004-10-15,Shipped,Motorcycles,150.00,"07-98 9555","Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium,0
144,10248,20,100.00,2910.40,2004-05-07,Cancelled,"Classic Cars",136.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small,0
145,10145,37,100.00,5192.95,2003-08-25,Shipped,Motorcycles,118.00,6265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium,0
146,10174,43,100.00,6817.22,2003-11-06,Shipped,"Trucks and Buses",136.00,61-7-3844-6555,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Medium,0
147,10319,30,100.00,4111.80,2004-11-03,Shipped,Motorcycles,150.00,2125551957,"5290 North Pendale Street",NYC,USA,Kuo,Kee,Medium,0
148,10329,24,100.00,3542.64,2004-11-15,Shipped,Motorcycles,150.00,2125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium,0
149,10159,37,100.00,5016.83,2003-10-10,Shipped,Motorcycles,118.00,6505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium,0
150,10183,41,100.00,6163.94,2003-11-13,Shipped,"Trucks and Buses",136.00,2155554695,"782 First Street",Philadelphia,USA,Cervantes,Francisca,Medium,0
151,10341,55,100.00,8118.55,2004-11-24,Shipped,Motorcycles,150.00,6562-9555,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Large,0
152,10261,27,100.00,3378.24,2004-06-17,Shipped,"Classic Cars",136.00,"(514) 555-8054","43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium,0
153,10168,27,100.00,3660.93,2003-10-28,Shipped,Motorcycles,118.00,6505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium,0
154,10362,22,100.00,3877.06,2005-01-05,Shipped,Motorcycles,150.00,6505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium,0
155,10375,49,78.92,3867.08,2005-02-03,Shipped,Motorcycles,150.00,40.67.8555,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium,0
156,10273,30,100.00,3508.80,2004-07-21,Shipped,"Classic Cars",136.00,"(02) 5554 67","Rue Joseph-Bens 532",Bruxelles,Belgium,Dewey,Catherine,Medium,0
157,10180,42,100.00,4695.60,2003-11-11,Shipped,Motorcycles,118.00,20.16.1555,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium,0
158,10283,25,100.00,2992.00,2004-08-20,Shipped,"Classic Cars",136.00,"(604) 555-4555","23 Tsawassen Blvd.",Tsawassen,Canada,Lincoln,Elizabeth,Small,0
159,10388,44,100.00,5951.44,2005-03-03,Shipped,Motorcycles,150.00,5085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Medium,0
160,10188,38,96.34,3660.92,2003-11-18,Shipped,Motorcycles,118.00,"+47 2267 3215","Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium,0
161,10403,66,100.00,8648.64,2005-04-08,Shipped,Motorcycles,150.00,"(171) 555-2282","Berkeley Gardens 12  Brewery",Liverpool,UK,Devon,Elizabeth,Large,0
162,10295,24,100.00,3427.20,2004-09-10,Shipped,"Classic Cars",136.00,6175559555,"8616 Spinnaker Dr.",Boston,USA,Yoshido,Juri,Medium,0
163,10201,24,100.00,3025.92,2003-12-01,Shipped,Motorcycles,118.00,6505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium,0
164,10417,21,100.00,3447.78,2005-05-13,Disputed,Motorcycles,150.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,0
165,10104,34,100.00,5958.50,2003-01-31,Shipped,"Classic Cars",151.00,"(91) 555 94 44","C/ Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium,0
