unique_id,order_id,quantity,unit_price,total_sale,order_date,order_status,product_category,cost_price,contact_number,address,city,country,last_name,first_name,order_size
40,10228,29,125.88,6463.23,2004-03-10,Shipped,"Classic Cars",119.89,+16175555555,"4658 Baden Av.",Cambridge,USA,Tseng,Kyung,Medium
41,10341,41,100.00,7737.93,2004-11-24,Shipped,Motorcycles,95.00,+43043913362,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Large
42,10375,45,125.88,3420.00,2005-02-03,Shipped,"Classic Cars",119.89,+33972716707,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
43,10403,66,100.00,11886.60,2005-04-08,Shipped,Motorcycles,97.07,+441715552282,"Berkeley Gardens 12 Brewery",Liverpool,UK,Devon,Elizabeth,Large
44,10361,20,101.92,1451.00,2004-12-17,Shipped,Motorcycles,97.07,+61054618269,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Small
45,10389,26,125.88,2575.04,2005-03-03,Shipped,"Classic Cars",119.89,+46081276336,"kergatan 24",Boras,Sweden,Larsson,Maria,Small
46,10375,21,101.92,733.11,2005-02-03,Shipped,Motorcycles,97.07,+33425268784,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Small
47,10245,34,125.88,6120.34,2004-05-04,Shipped,"Classic Cars",119.89,+12035559545,"567 North Pendale Street","New Haven",USA,Murphy,Leslie,Medium
48,10388,42,101.92,3207.12,2005-03-03,Shipped,Motorcycles,97.07,+15085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Medium
49,10419,12,125.88,1961.28,2005-05-17,Shipped,"Classic Cars",119.89,+43068805385,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Small
50,10417,56,100.00,9218.16,2005-05-13,Disputed,Motorcycles,97.07,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
51,10403,24,100.00,2434.56,2005-04-08,Shipped,Motorcycles,95.00,+441715552282,"Berkeley Gardens 12 Brewery",Liverpool,UK,Devon,Elizabeth,Small
52,10105,41,125.88,8690.36,2003-02-11,Shipped,"Classic Cars",119.89,+4531123555,"Vinb ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Large
53,10417,66,100.00,7516.08,2005-05-13,Disputed,Motorcycles,95.00,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
54,10117,33,125.88,6034.38,2003-04-16,Shipped,"Classic Cars",119.89,+6501644629,"Bronz Sok., Bronz Apt. 3 6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium
55,10103,26,125.88,5404.62,2003-01-29,Shipped,"Classic Cars",119.89,+4775815325,"Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium
56,10127,46,125.88,11279.20,2003-06-03,Shipped,"Classic Cars",119.89,+12125557413,"4092 Furth Circle",NYC,USA,Young,Jeff,Large
57,10112,29,125.88,7209.11,2003-03-24,Shipped,"Classic Cars",119.89,+46029737742,"Berguvsv gen 8",Lule,Sweden,Berglund,Christina,Large
58,10126,38,125.88,7329.06,2003-05-28,Shipped,"Classic Cars",119.89,+34915552282,"C Araquil, 67",Madrid,Spain,Sommer,MartÃ‚Â¡n,Large
59,10258,32,125.88,7680.64,2004-06-15,Shipped,"Classic Cars",119.89,+810212427412,"2-2-8 Roppongi",Minato-ku,Japan,Shimamura,Akiko,Large
60,10270,21,125.88,4905.39,2004-07-19,Shipped,"Classic Cars",119.89,+61017000480,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,Huxley,Adrian,Medium
61,10105,50,125.88,7208.00,2003-02-11,Shipped,"Classic Cars",119.89,+4531123555,"Vinb ltet 34",Kobenhavn,Denmark,Petersen,Jytte,Large
62,10280,34,125.88,8014.82,2004-08-17,Shipped,"Classic Cars",119.89,+39021274181,"Via Monte Bianco 34",Torino,Italy,Accorti,Paolo,Large
63,10142,33,125.88,8023.29,2003-08-08,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large
64,10153,20,125.88,4904.00,2003-09-28,Shipped,"Classic Cars",119.89,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium
65,10165,44,125.88,8594.52,2003-10-22,Shipped,"Classic Cars",119.89,+6505536947,"Bronz Sok., Bronz Apt. 3 6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large
66,10119,46,125.88,5004.80,2003-04-28,Shipped,"Classic Cars",119.89,+43013024809,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Medium
67,10176,33,125.88,7474.50,2003-11-06,Shipped,"Classic Cars",119.89,+39099015641,"Strada Provinciale 124","Reggio Emilia",Italy,Moroni,Maurizio,Large
68,10129,33,125.88,4398.24,2003-06-12,Shipped,"Classic Cars",119.89,+441715550297,"35 King George",London,UK,Brown,Ann,Medium
69,10140,37,125.88,7374.10,2003-07-24,Shipped,"Classic Cars",119.89,+16505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Large
70,10185,21,125.88,3883.74,2003-11-14,Shipped,"Classic Cars",119.89,+15085559555,"4575 Hillside Dr.","New Bedford",USA,Tam,"Wing C",Medium
71,10150,45,125.88,10993.50,2003-09-19,Shipped,"Classic Cars",119.89,+6505600377,"Bronz Sok., Bronz Apt. 3 6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Large
72,10196,47,125.88,8887.70,2003-11-26,Shipped,"Classic Cars",119.89,+12035559545,"567 North Pendale Street","New Haven",USA,Murphy,Leslie,Large
73,10208,46,125.88,8602.92,2004-01-02,Shipped,"Classic Cars",119.89,+33829719769,"2, rue du Commerce",Lyon,France,Saveley,Mary,Large
74,10163,21,125.88,4860.24,2003-10-20,Shipped,"Classic Cars",119.89,+12125558493,"5905 Pompton St.",NYC,USA,Hernandez,Maria,Medium
75,10220,32,125.88,7181.44,2004-02-12,Shipped,"Classic Cars",119.89,+353046848549,"25 Maiden Lane",Dublin,Ireland,Cassidy,Dean,Large
76,10174,34,125.88,8014.82,2003-11-06,Shipped,"Classic Cars",119.89,+61085326819,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Large
77,10143,49,125.88,5597.76,2003-08-10,Shipped,"Classic Cars",119.89,+15085559555,"4575 Hillside Dr.","New Bedford",USA,Tam,"Wing C",Medium
78,10231,42,125.88,8378.58,2004-03-19,Shipped,"Classic Cars",119.89,+34860884500,"Merchants House, 27-30 Merchant s Quay",Madrid,Spain,Fernandez,Jesus,Large
79,10183,23,125.88,5372.57,2003-11-13,Shipped,"Classic Cars",119.89,+12155554695,"782 First Street",Philadelphia,USA,Cervantes,Francisca,Medium
80,10291,37,125.88,7136.19,2004-09-08,Shipped,"Classic Cars",119.89,+46074461796,"kergatan 24",Boras,Sweden,Larsson,Maria,Large
81,10304,47,125.88,10172.70,2004-10-11,Shipped,"Classic Cars",119.89,+33140436343,"67, avenue de l Europe",Versailles,France,Tonini,Daniel,Large
82,10247,44,125.88,10606.20,2004-05-05,Shipped,"Classic Cars",119.89,+358046832786,"Software Engineering Center, SEC Oy",Espoo,Finland,Suominen,Kalle,Large
83,10272,35,125.88,5818.40,2004-07-20,Shipped,"Classic Cars",119.89,+12155551555,"7586 Pompton St.",Allentown,USA,Yu,Kyung,Medium
84,10282,41,125.88,7071.27,2004-08-20,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large
85,10293,46,125.88,8411.56,2004-09-09,Shipped,"Classic Cars",119.89,+39092033030,"Via Monte Bianco 34",Torino,Italy,Accorti,Paolo,Large
86,10381,20,107.59,2952.00,2005-02-17,Shipped,"Trucks and Buses",102.47,+16505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Small
87,10312,48,125.88,11623.70,2004-10-21,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Large
88,10306,31,125.88,6570.76,2004-10-14,Shipped,"Classic Cars",119.89,+441715551555,"Fauntleroy Circus",Manchester,UK,Ashworth,Victoria,Medium
89,10391,39,107.59,2464.80,2005-03-09,Shipped,"Trucks and Buses",102.47,+61019666798,"201 Miller Street","North Sydney",Australia,O'Hara,Anna,Small
90,10322,40,125.88,6000.40,2004-11-04,Shipped,"Classic Cars",119.89,+16035558647,"2304 Long Airport Avenue",Nashua,USA,Young,Valarie,Medium
91,10314,38,125.88,7975.44,2004-10-22,Shipped,"Classic Cars",119.89,+4586213555,"Smagsloget 45",Aaarhus,Denmark,Ibsen,Palle,Large
92,10411,40,107.59,6232.00,2005-05-01,Shipped,"Trucks and Buses",102.47,+15145558054,"43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium
93,10325,42,125.88,2688.00,2004-11-05,Shipped,"Classic Cars",119.89,+4722234902,"Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Small
94,10333,26,125.88,3003.00,2004-11-18,Shipped,"Classic Cars",119.89,+16505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium
95,10424,49,107.59,7969.36,2005-05-31,"In Process","Trucks and Buses",102.47,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
96,10347,30,125.88,3944.70,2004-11-29,Shipped,"Classic Cars",119.89,+61052174118,"636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Medium
97,10336,33,125.88,1888.26,2004-11-20,Shipped,"Classic Cars",119.89,+33142342555,"265, boulevard Charonne",Paris,France,Bertrand,Marie,Small
98,10107,21,100.00,3036.60,2003-02-24,Shipped,Motorcycles,97.07,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium
99,10348,48,125.88,2513.28,2004-11-01,Shipped,"Classic Cars",119.89,+34915552282,"C Araquil, 67",Madrid,Spain,Sommer,MartÃ‚Â¡n,Small
100,10121,50,100.00,8284.00,2003-05-07,Shipped,Motorcycles,97.07,+33941658906,"59 rue de l Abbaye",Reims,France,Henriot,Paul,Large
101,10155,32,125.88,4526.08,2003-10-06,Shipped,"Classic Cars",119.89,+358902248555,"Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Medium
102,10134,20,100.00,2711.20,2003-07-01,Shipped,Motorcycles,97.07,+33143071000,"27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Small
103,10359,42,125.88,4764.48,2004-12-15,Shipped,"Classic Cars",119.89,+33890378313,"59 rue de l Abbaye",Reims,France,Henriot,Paul,Medium
104,10145,49,100.00,8339.80,2003-08-25,Shipped,Motorcycles,97.07,+16265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Large
105,10167,44,125.88,5924.16,2003-10-23,Cancelled,"Classic Cars",119.89,+46002267859,"kergatan 24",Boras,Sweden,Larsson,Maria,Medium
106,10159,38,100.00,6238.84,2003-10-10,Shipped,Motorcycles,97.07,+16505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium
107,10371,32,125.88,3560.64,2005-01-23,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium
108,10357,32,125.88,5691.84,2004-12-10,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium
109,10382,34,125.88,3823.64,2005-02-17,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium
110,10369,41,125.88,4514.92,2005-01-20,Shipped,"Classic Cars",119.89,+16175558555,"7825 Douglas Av.",Brickhaven,USA,Nelson,Allen,Medium
111,10381,36,125.88,8254.80,2005-02-17,Shipped,"Classic Cars",119.89,+16505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Large
112,10395,33,125.88,2280.96,2005-03-17,Shipped,"Classic Cars",119.89,+33442258082,"27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Small
113,10178,24,125.88,3492.48,2003-11-08,Shipped,"Classic Cars",119.89,+33143254648,"1 rue Alsace-Lorraine",Toulouse,France,Roulet,Annette,Medium
114,10413,36,125.88,8677.80,2005-05-05,Shipped,"Classic Cars",119.89,+12035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Large
115,10391,24,125.88,2416.56,2005-03-09,Shipped,"Classic Cars",119.89,+61038949902,"201 Miller Street","North Sydney",Australia,O'Hara,Anna,Small
116,10169,35,100.00,4639.25,2003-11-04,Shipped,Motorcycles,97.07,+61051773120,"201 Miller Street","North Sydney",Australia,O'Hara,Anna,Medium
117,10180,40,100.00,6747.60,2003-11-11,Shipped,Motorcycles,97.07,+33420158968,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium
118,10411,23,125.88,4140.23,2005-05-01,Shipped,"Classic Cars",119.89,+15145558054,"43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium
119,10189,28,100.00,4512.48,2003-11-18,Shipped,Motorcycles,97.07,+16265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium
120,10186,26,125.88,3854.24,2003-11-14,Shipped,"Classic Cars",119.89,+441715557555,"120 Hanover Sq.",London,UK,Hardy,Thomas,Medium
121,10424,50,125.88,12001.00,2005-05-31,"In Process","Classic Cars",119.89,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Large
122,10201,25,100.00,4029.00,2003-12-01,Shipped,Motorcycles,97.07,+16505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium
123,10211,36,100.00,4771.80,2004-01-15,Shipped,Motorcycles,97.07,+33147556555,"25, rue Lauriston",Paris,France,Perrier,Dominique,Medium
124,10103,27,107.59,3394.98,2003-01-29,Shipped,"Trucks and Buses",102.47,+4754760127,"Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium
125,10224,43,100.00,6087.94,2004-02-21,Shipped,Motorcycles,97.07,+33477529474,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium
126,10197,45,125.88,5324.40,2003-11-26,Shipped,"Classic Cars",119.89,+34932034555,"Rambla de Catalu a, 23",Barcelona,Spain,Saavedra,Eduardo,Medium
127,10237,32,100.00,4193.28,2004-04-05,Shipped,Motorcycles,97.07,+12125551500,"2678 Kingston Rd.",NYC,USA,Frick,Michael,Medium
128,10113,21,107.59,3415.44,2003-03-26,Shipped,"Trucks and Buses",102.47,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium
129,10209,39,125.88,5197.92,2004-01-09,Shipped,"Classic Cars",119.89,+12155554369,"6047 Douglas Av.","Los Angeles",USA,Chandler,Michael,Medium
130,10251,46,100.00,7552.28,2004-05-18,Shipped,Motorcycles,97.07,+12015559350,"7476 Moss Rd.",Newark,USA,Brown,William,Large
131,10126,21,107.59,2439.57,2003-05-28,Shipped,"Trucks and Buses",102.47,+34915552282,"C Araquil, 67",Madrid,Spain,Sommer,MartÃ‚Â¡n,Small
132,10107,39,99.91,3896.49,2003-02-24,Shipped,Motorcycles,97.07,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium
133,10263,48,100.00,6434.40,2004-06-28,Shipped,Motorcycles,97.07,+12035552570,"25593 South Bay Ln.",Bridgewater,USA,King,Julie,Medium
134,10276,43,100.00,5181.50,2004-08-02,Shipped,Motorcycles,97.07,+16175557555,"7635 Spinnaker Dr.",Brickhaven,USA,Barajas,Miguel,Medium
135,10140,38,107.59,4829.80,2003-07-24,Shipped,"Trucks and Buses",102.47,+16505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium
136,10285,49,100.00,6863.92,2004-08-27,Shipped,Motorcycles,97.07,+16175558555,"39323 Spinnaker Dr.",Cambridge,USA,Hernandez,Marta,Medium
137,10120,29,101.92,2793.86,2003-04-29,Shipped,Motorcycles,97.07,+61074484359,"636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Small
138,10299,24,100.00,4157.04,2004-09-30,Shipped,Motorcycles,97.07,+358902248555,"Keskuskatu 45",Helsinki,Finland,Karttunen,Matti,Medium
139,10150,30,107.59,4100.10,2003-09-19,Shipped,"Trucks and Buses",102.47,+6502916295,"Bronz Sok., Bronz Apt. 3 6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium
140,10222,49,125.88,5997.60,2004-02-19,Shipped,"Classic Cars",119.89,+17605558146,"361 Furth Circle","San Diego",USA,Thompson,Valarie,Medium
141,10134,27,100.00,3307.77,2003-07-01,Shipped,Motorcycles,97.07,+33223617159,"27 rue du Colonel Pierre Avia",Paris,France,"Da Cunha",Daniel,Medium
142,10164,49,107.59,6563.06,2003-10-21,Resolved,"Trucks and Buses",102.47,+43024319707,"Kirchgasse 6",Graz,Austria,Mendel,Roland,Medium
143,10309,26,100.00,4660.24,2004-10-15,Shipped,Motorcycles,97.07,+4754513393,"Erling Skakkes gate 78",Stavern,Norway,Bergulfsen,Jonas,Medium
144,10248,20,125.88,2910.40,2004-05-07,Cancelled,"Classic Cars",119.89,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Small
145,10145,37,100.00,5192.95,2003-08-25,Shipped,Motorcycles,97.07,+16265557265,"78934 Hillside Dr.",Pasadena,USA,Young,Julie,Medium
146,10174,43,107.59,6817.22,2003-11-06,Shipped,"Trucks and Buses",102.47,+61099607849,"31 Duncan St. West End","South Brisbane",Australia,Calaghan,Tony,Medium
147,10319,30,100.00,4111.80,2004-11-03,Shipped,Motorcycles,97.07,+12125551957,"5290 North Pendale Street",NYC,USA,Kuo,Kee,Medium
148,10329,24,100.00,3542.64,2004-11-15,Shipped,Motorcycles,97.07,+12125557818,"897 Long Airport Avenue",NYC,USA,Yu,Kwai,Medium
149,10159,37,100.00,5016.83,2003-10-10,Shipped,Motorcycles,97.07,+16505551386,"7734 Strong St.","San Francisco",USA,Brown,Julie,Medium
150,10183,41,107.59,6163.94,2003-11-13,Shipped,"Trucks and Buses",102.47,+12155554695,"782 First Street",Philadelphia,USA,Cervantes,Francisca,Medium
151,10341,55,100.00,8118.55,2004-11-24,Shipped,Motorcycles,97.07,+43034499069,"Geislweg 14",Salzburg,Austria,Pipps,Georg,Large
152,10261,27,125.88,3378.24,2004-06-17,Shipped,"Classic Cars",119.89,+15145558054,"43 rue St. Laurent",Montreal,Canada,Fresnisre,Jean,Medium
153,10168,27,100.00,3660.93,2003-10-28,Shipped,Motorcycles,97.07,+16505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium
154,10362,22,100.00,3877.06,2005-01-05,Shipped,Motorcycles,97.07,+16505556809,"9408 Furth Circle",Burlingame,USA,Hirano,Juri,Medium
155,10375,49,101.92,3867.08,2005-02-03,Shipped,Motorcycles,97.07,+33736718021,"67, rue des Cinquante Otages",Nantes,France,Labrune,Janine,Medium
156,10273,30,125.88,3508.80,2004-07-21,Shipped,"Classic Cars",119.89,+32064861804,"Rue Joseph-Bens 532",Bruxelles,Belgium,Dewey,Catherine,Medium
157,10180,42,100.00,4695.60,2003-11-11,Shipped,Motorcycles,97.07,+33032936206,"184, chausse de Tournai",Lille,France,Rance,Martine,Medium
158,10283,25,125.88,2992.00,2004-08-20,Shipped,"Classic Cars",119.89,+16045554555,"23 Tsawassen Blvd.",Tsawassen,Canada,Lincoln,Elizabeth,Small
159,10388,44,100.00,5951.44,2005-03-03,Shipped,Motorcycles,97.07,+15085552555,"1785 First Street","New Bedford",USA,Benitez,Violeta,Medium
160,10188,38,101.92,3660.92,2003-11-18,Shipped,Motorcycles,97.07,+4721882691,"Drammen 121, PR 744 Sentrum",Bergen,Norway,Oeztan,Veysel,Medium
161,10403,66,100.00,8648.64,2005-04-08,Shipped,Motorcycles,97.07,+441715552282,"Berkeley Gardens 12 Brewery",Liverpool,UK,Devon,Elizabeth,Large
162,10295,24,125.88,3427.20,2004-09-10,Shipped,"Classic Cars",119.89,+16175559555,"8616 Spinnaker Dr.",Boston,USA,Yoshido,Juri,Medium
163,10201,24,100.00,3025.92,2003-12-01,Shipped,Motorcycles,97.07,+16505555787,"5557 North Pendale Street","San Francisco",USA,Murphy,Julie,Medium
164,10417,21,100.00,3447.78,2005-05-13,Disputed,Motorcycles,97.07,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium
165,10104,34,125.88,5958.50,2003-01-31,Shipped,"Classic Cars",119.89,+34915559444,"C Moralzarzal, 86",Madrid,Spain,Freyre,Diego,Medium
166,10210,23,100.00,3009.09,2004-01-12,Shipped,Motorcycles,97.07,+810995326003,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,Kentary,Mory,Medium
167,10117,43,125.88,5911.64,2003-04-16,Shipped,"Classic Cars",119.89,+6503201492,"Bronz Sok., Bronz Apt. 3 6 Tesvikiye",Singapore,Singapore,Natividad,Eric,Medium
168,10223,47,100.00,5422.39,2004-02-20,Shipped,Motorcycles,97.07,+61061476847,"636 St Kilda Road",Melbourne,Australia,Ferguson,Peter,Medium
169,10127,46,125.88,7366.44,2003-06-03,Shipped,"Classic Cars",119.89,+12125557413,"4092 Furth Circle",NYC,USA,Young,Jeff,Large
170,10142,33,125.88,4985.64,2003-08-08,Shipped,"Classic Cars",119.89,+14155551450,"5677 Strong St.","San Rafael",USA,Nelson,Valarie,Medium
171,10307,22,125.88,2692.80,2004-10-14,Shipped,"Classic Cars",119.89,+12155554695,"782 First Street",Philadelphia,USA,Cervantes,Francisca,Small
